id_evento,ot_utc,magnitud,tipo_magnitud,fases,rms,azgap,latitud,longitud,profundidad_km,agencia,autor,region
csn_sc62026nobgi,2026-07-12 15:30:25,2.9,MLv,12,0.34,268,-23.9523,-67.4558,211.5,CSN,tark,Chile-Argentina Border Region
csn_sc62026nobcm,2026-07-12 15:34:00,2.1,M,9,0.97,174,-18.0448,-69.8542,75.9,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nobjv,2026-07-12 15:34:30,2.2,M,10,0.19,246,-28.0304,-71.3517,32.4,CSN,tark,Near Coast of Central Chile
csn_sc62026nocgw,2026-07-12 16:02:32,2.5,MLv,11,0.36,211,-28.7768,-71.3729,30.4,CSN,tark,Near Coast of Central Chile
csn_sc62026nodip,2026-07-12 16:37:38,2.4,M,13,0.93,162,-20.9582,-68.8439,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026nodvh,2026-07-12 16:48:27,2.7,M,22,1.01,167,-22.7901,-69.4500,5.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026noebi,2026-07-12 16:55:29,2.2,M,5,0.93,250,-20.6752,-68.6670,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026noefl,2026-07-12 17:00:17,2.1,M,13,0.39,82,-20.8331,-69.8164,5.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026noejh,2026-07-12 17:04:46,2.2,M,9,0.48,130,-21.0803,-69.0121,89.8,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026noemf,2026-07-12 17:08:10,,,5,1.23,200,-25.2004,-71.4484,188.3,CSN,scautoloc2@prod-pub-seiscomp6,Off Coast of Northern Chile
csn_sc62026noene,2026-07-12 17:09:17,2.1,M,10,1.32,123,-19.9126,-69.8489,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nofaw,2026-07-12 17:25:15,,,7,0.60,313,-48.5075,-130.7176,10.0,CSN,scautoloc2@prod-pub-seiscomp6,South Pacific Ocean
csn_sc62026nofgc,2026-07-12 17:31:21,,,6,0.86,215,-36.6788,-81.6275,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Southeast Central Pacific Ocean
csn_sc62026nofoi,2026-07-12 17:40:52,2.3,MLv,26,0.35,207,-32.2155,-70.0169,113.7,CSN,Thor,Chile-Argentina Border Region
csn_sc62026nofxu,2026-07-12 17:51:58,3.0,MLv,44,0.44,162,-20.6519,-68.8772,101.3,CSN,Thor,Chile-Bolivia Border Region
csn_sc62026nofzj,2026-07-12 17:53:49,2.5,M,9,0.73,112,-26.5539,-70.3430,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Near Coast of Northern Chile
csn_sc62026nogda,2026-07-12 17:58:05,2.2,M,13,0.90,157,-22.6970,-70.1653,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Near Coast of Northern Chile
csn_sc62026nogdv,2026-07-12 17:59:01,,,10,1.28,326,-29.8500,-68.4463,10.0,CSN,scautoloc2@prod-pub-seiscomp6,"San Juan Province, Argentina"
csn_sc62026nogec,2026-07-12 17:59:36,2.0,MLv,9,0.10,119,-21.0502,-69.7391,6.6,CSN,Thor,Northern Chile
csn_sc62026nogeq,2026-07-12 18:00:37,2.1,MLv,12,0.42,229,-22.5655,-69.8241,-7.1,CSN,Thor,Northern Chile
csn_sc62026nogji,2026-07-12 18:05:26,2.6,M,4,0.45,193,-19.8914,-69.0229,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nohji,2026-07-12 18:35:44,2.4,M,12,0.96,141,-22.9187,-69.4890,10.5,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nohrd,2026-07-12 18:44:49,3.1,M,13,0.37,237,-31.1788,-68.1778,204.8,CSN,scautoloc2@prod-pub-seiscomp6,"San Juan Province, Argentina"
csn_sc62026nohui,2026-07-12 18:48:34,4.1,MLv,49,0.43,254,-23.6924,-67.2949,234.7,CSN,Thor,Chile-Argentina Border Region
csn_sc62026noiez,2026-07-12 19:00:59,2.1,M,12,0.86,151,-20.9858,-68.9115,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026noikw,2026-07-12 19:07:50,3.4,M,13,0.45,256,-28.1211,-67.7983,213.1,CSN,scautoloc2@prod-pub-seiscomp6,"La Rioja Province, Argentina"
csn_sc62026noitv,2026-07-12 19:18:19,1.8,M,15,0.65,198,-33.2467,-70.2856,5.0,CSN,scautoloc3@prod-pub-seiscomp6,Chile-Argentina Border Region
csn_sc62026noizr,2026-07-12 19:25:09,2.0,M,22,0.98,221,-33.1451,-70.2632,5.0,CSN,scautoloc3@prod-pub-seiscomp6,Chile-Argentina Border Region
csn_sc62026noiyu,2026-07-12 19:25:23,2.1,MLv,18,0.31,201,-22.1644,-68.7023,106.5,CSN,tark,Northern Chile
csn_sc62026nojng,2026-07-12 19:40:58,3.5,M,26,0.63,225,-16.5905,-71.8352,86.6,CSN,scautoloc2@prod-pub-seiscomp6,Southern Peru
csn_sc62026nojqm,2026-07-12 19:44:42,2.9,M,7,1.28,250,-23.8176,-67.1131,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Argentina Border Region
csn_sc62026nokcy,2026-07-12 20:01:12,2.3,MLv,15,0.45,139,-29.5655,-71.1712,41.4,CSN,Thor,Near Coast of Central Chile
csn_sc62026nokiu,2026-07-12 20:05:57,2.6,MLv,33,0.44,123,-21.0982,-69.0115,120.0,CSN,Thor,Northern Chile
csn_sc62026nokqz,2026-07-12 20:15:35,2.3,MLv,19,0.34,241,-21.2578,-68.5262,125.1,CSN,Thor,Chile-Bolivia Border Region
csn_sc62026nokwk,2026-07-12 20:21:54,3.2,MLv,105,0.43,67,-34.0619,-70.8731,72.5,CSN,Thor,Chile-Argentina Border Region
csn_sc62026noljh,2026-07-12 20:36:54,2.6,M,12,0.93,173,-28.0599,-69.7263,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Argentina Border Region
csn_sc62026nomgu,2026-07-12 21:04:19,2.6,M,18,1.16,158,-24.1940,-69.3965,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nomli,2026-07-12 21:09:33,2.6,M,15,1.18,206,-23.3117,-68.9919,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nomlh,2026-07-12 21:11:38,2.1,M,15,0.29,124,-22.7406,-68.9365,75.2,CSN,cris,Northern Chile
csn_sc62026nomtf,2026-07-12 21:18:46,2.6,M,16,0.89,183,-22.4465,-69.1908,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nomtu,2026-07-12 21:19:28,2.5,MLv,15,0.27,221,-31.8115,-71.8656,25.8,CSN,cris,Near Coast of Central Chile
csn_sc62026nomxu,2026-07-12 21:23:29,,,15,1.04,351,-0.2491,-86.1899,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Galapagos Islands Region
csn_sc62026nomzj,2026-07-12 21:26:00,2.8,MLv,32,0.49,204,-21.3171,-68.4941,135.9,CSN,cris,Chile-Bolivia Border Region
csn_sc62026nonbp,2026-07-12 21:28:33,2.4,MLv,26,0.31,120,-18.6550,-70.1217,58.9,CSN,cris,Near Coast of Northern Chile
csn_sc62026nonfw,2026-07-12 21:33:27,2.4,MLv,16,0.42,116,-23.1868,-69.1313,96.7,CSN,cris,Northern Chile
csn_sc62026nonhk,2026-07-12 21:35:21,2.5,M,14,1.27,172,-22.9879,-69.4786,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nonhd,2026-07-12 21:35:51,2.8,M,16,0.42,238,-31.3451,-68.8141,140.0,CSN,cris,"San Juan Province, Argentina"
csn_sc62026nonqv,2026-07-12 21:46:18,2.4,M,17,1.00,183,-22.4160,-69.1904,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nonvv,2026-07-12 21:52:10,2.1,M,14,0.19,222,-29.9937,-71.1339,80.9,CSN,cris,Near Coast of Central Chile
csn_sc62026nooeb,2026-07-12 22:01:46,1.2,M,32,0.30,48,-33.4836,-70.7097,80.7,CSN,cris,Chile-Argentina Border Region
csn_sc62026noold,2026-07-12 22:09:59,2.4,M,13,1.42,127,-23.3456,-69.6242,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026noonf,2026-07-12 22:12:24,2.2,M,8,0.43,167,-22.8348,-69.3991,5.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nooqd,2026-07-12 22:15:42,4.0,MLv,51,0.53,125,-21.2535,-68.7638,132.0,CSN,cris,Chile-Bolivia Border Region
csn_sc62026nooze,2026-07-12 22:26:21,2.4,M,13,0.83,150,-20.8929,-68.9750,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026nopbn,2026-07-12 22:29:05,2.2,M,8,1.46,181,-20.7950,-69.4715,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nopsr,2026-07-12 22:49:13,2.9,M,11,0.73,232,-22.7454,-67.4305,330.2,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026nopsb,2026-07-12 22:53:08,2.4,M,24,0.44,226,-20.4980,-68.8429,113.1,CSN,cris,Chile-Bolivia Border Region
csn_sc62026noqkg,2026-07-12 23:09:31,2.2,M,25,0.43,129,-20.9146,-69.1418,113.4,CSN,cris,Northern Chile
csn_sc62026noqmi,2026-07-12 23:11:58,2.2,M,15,0.31,208,-22.2520,-68.7303,112.0,CSN,cris,Northern Chile
csn_sc62026nordu,2026-07-12 23:27:59,,,13,1.23,315,-9.2350,-50.1059,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Brazil
