time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-05T09:17:55Z,-21.15, -68.69, 109.0, 3.3,MLv,36.64 km al S de Mina Collahuasi,f
2026-06-05T12:55:30Z,-21.94, -68.83, 111.6, 2.8,MLv,60.07 km al N de Calama,f
2026-06-05T14:07:20Z,-21.68, -68.55, 122.2, 2.5,MLv,59.62 km al SO de Ollagüe,f
2026-06-04T01:41:33Z,-33.82, -72.06,  27.4, 3.2,MLv,26.4 km al NO de Navidad,f
2026-06-04T10:48:33Z,-21.28, -70.05,  37.4, 2.8,MLv,55.12 km al S de Patache,f
2026-06-04T11:58:49Z,-32.78, -71.67,  30.8, 3.3,MLv,13.3 km al O de Quintero,f
2026-06-04T13:18:26Z,-22.69, -66.83, 268.7, 3.0,MLv,143.03 km al E de San Pedro de Atacama,f
2026-06-04T14:40:52Z,-35.26, -71.17,  79.5, 2.5,MLv,30.85 km al S de Curicó,f
2026-06-05T15:03:20Z,-24.24, -67.84, 140.5, 3.0,MLv,73.06 km al S de Socaire,f
2026-06-03T23:42:14Z,-33.92, -72.15,  22.7, 2.8,MLv,29.3 km al O de Navidad,f
2026-06-05T18:15:07Z,-17.75, -69.64, 172.5, 3.0,MLv,24.43 km al SO de Visviri,f
2026-06-04T21:41:41Z,-21.39, -71.50,  10.0, 2.7,MLv,149.51 km al SO de Patache,f
2026-06-04T00:47:37Z,-23.67, -68.79,  67.9, 2.9,MLv,72.26 km al NE de Mina La Escondida,f
2026-06-04T22:21:53Z,-27.24, -71.33,  26.4, 2.8,MLv,53.76 km al O de Caldera,f
2026-06-04T23:10:09Z,-21.18, -69.08, 107.6, 2.5,MLv,58.63 km al SO de Mina Collahuasi,f
2026-06-05T18:35:38Z,-22.25, -68.69, 103.9, 3.1,MLv,34.58 km al NE de Calama,f
2026-06-04T01:02:20Z,-20.49, -69.36,  90.5, 2.6,MLv,3.56 km al O de Pica,f
2026-06-06T01:33:36Z,-22.29, -68.71, 112.7, 2.7,MLv,30.06 km al NE de Calama,f
2026-06-05T02:03:47Z,-18.32, -69.33, 127.8, 3.1,MLv,28.02 km al SE de Putre,f
2026-06-04T01:12:22Z,-22.42, -68.69, 106.3, 2.9,MLv,24.73 km al E de Calama,f
2026-06-05T03:12:52Z,-24.04, -67.57, 214.0, 3.1,MLv,60.13 km al SE de Socaire,f
2026-06-05T03:42:36Z,-23.86, -67.17, 223.6, 3.1,MLv,79.08 km al E de Socaire,f
