time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-06T20:18:59Z,-24.08, -67.46, 181.4, 3.5,MLv,70.38 km al SE de Socaire,f
2026-06-06T23:02:17Z,-33.40, -71.79,  29.1, 3.5,MLv,12.64 km al NO de El Tabo,f
2026-06-06T23:55:56Z,-20.89, -69.19,  99.2, 2.6,MLv,47.2 km al S de Pica,f
2026-06-07T02:04:07Z,-27.21, -71.86,  26.4, 2.6,MLv,103.58 km al O de Caldera,f
2026-06-07T03:46:33Z,-21.41, -71.61,  10.0, 3.1,MLv,160.31 km al SO de Patache,f
2026-06-07T06:00:17Z,-23.07, -68.86, 101.7, 2.7,MLv,51.22 km al E de Sierra Gorda,f
2026-06-07T09:20:32Z,-21.16, -68.91, 104.3, 3.3,MLv,45.66 km al SO de Mina Collahuasi,f
2026-06-07T10:40:45Z,-22.07, -67.95, 217.3, 2.8,MLv,97.8 km al N de San Pedro de Atacama,f
2026-06-07T13:57:18Z,-24.29, -67.19, 182.8, 4.7,Mw,88.24 km al O de San Antonio de los Cobres,f
2026-06-07T14:18:14Z,-22.34, -68.76, 107.2, 3.1,MLv,23.25 km al NE de Calama,f
2026-06-07T15:09:33Z,-17.44, -69.39, 161.5, 3.2,MLv,19.72 km al NE de Visviri,f
2026-06-07T17:18:12Z,-22.27, -68.76, 119.2, 2.5,MLv,28.28 km al NE de Calama,f
2026-06-07T18:41:48Z,-22.20, -67.83, 200.3, 2.9,MLv,88.35 km al NE de San Pedro de Atacama,f
2026-06-07T19:19:35Z,-22.23, -68.67, 109.1, 3.2,MLv,37.42 km al NE de Calama,f
2026-06-07T19:40:59Z,-26.00, -71.10,  35.7, 4.6,Mw,61.66 km al NO de Chañaral,t
2026-06-07T21:35:50Z,-22.43, -68.69, 108.3, 3.0,MLv,24.62 km al E de Calama,f
2026-06-07T22:22:29Z,-18.52, -69.29, 115.4, 3.1,MLv,45.61 km al SE de Putre,f
2026-06-07T23:28:18Z,-23.74, -67.11, 226.1, 3.7,MLv,80.9 km al E de Socaire,f
2026-06-08T02:55:43Z,-21.80, -68.61, 120.0, 2.5,MLv,73.6 km al SO de Ollagüe,f
2026-06-08T03:14:25Z,-21.13, -68.75,  85.5, 2.5,MLv,34.57 km al S de Mina Collahuasi,f
2026-06-08T04:15:34Z,-21.90, -68.47, 127.8, 2.5,MLv,78.12 km al S de Ollagüe,f
2026-06-08T04:47:03Z,-21.08, -69.14,  97.4, 2.9,MLv,57.85 km al SO de Mina Collahuasi,f
2026-06-08T05:31:06Z,-33.51, -71.92,  23.5, 2.8,MLv,23.59 km al O de El Tabo,f
2026-06-08T05:44:37Z,-29.77, -71.57,  60.7, 2.7,MLv,33.91 km al O de La Serena,f
2026-06-08T09:47:44Z,-17.72, -69.61, 158.1, 3.1,MLv,19.69 km al SO de Visviri,f
2026-06-08T11:23:47Z,-33.53, -71.91,  25.1, 2.7,MLv,23.82 km al O de El Tabo,f
2026-06-08T12:15:35Z,-22.11, -68.74,  95.1, 2.9,MLv,44.67 km al NE de Calama,f
2026-06-08T12:35:06Z,-24.19, -70.35,  46.3, 2.6,MLv,18.85 km al E de Caleta El Cobre,f
2026-06-08T12:38:44Z,-21.16, -68.96, 112.8, 2.8,MLv,48.4 km al SO de Mina Collahuasi,f
2026-06-08T13:38:33Z,-21.53, -68.65, 128.2, 2.6,MLv,52.94 km al SO de Ollagüe,f
2026-06-08T17:47:07Z,-21.71, -68.46, 124.3, 3.0,MLv,58.5 km al SO de Ollagüe,f
2026-06-08T20:22:46Z,-21.16, -68.54, 130.3, 2.5,MLv,30.92 km al O de Ollagüe,f
2026-06-08T23:47:01Z,-21.25, -68.56, 125.0, 2.6,MLv,31.79 km al O de Ollagüe,f
2026-06-09T01:30:43Z,-24.21, -67.40, 196.1, 3.7,MLv,85.29 km al SE de Socaire,f
2026-06-09T04:55:25Z,-21.29, -68.77, 122.5, 2.5,MLv,52.62 km al S de Mina Collahuasi,f
2026-06-09T05:38:07Z,-20.14, -68.91, 115.4, 2.8,MLv,58.45 km al NE de Pica,f
2026-06-09T05:54:43Z,-31.58, -70.88,  68.4, 2.6,MLv,23.61 km al NE de Salamanca,f
2026-06-09T06:07:50Z,-17.96, -69.64, 129.2, 3.0,MLv,27.22 km al N de Putre,f
2026-06-09T07:34:34Z,-36.33, -71.86,  72.1, 3.0,MLv,37.01 km al NO de San Fabián,f
2026-06-09T08:29:14Z,-22.24, -68.52, 104.6, 2.7,MLv,49.19 km al NE de Calama,f
2026-06-09T14:47:50Z,-21.69, -68.52, 130.0, 2.7,MLv,59.03 km al SO de Ollagüe,f
2026-06-09T18:34:47Z,-23.96, -70.41,  32.6, 3.1,MLv,34.39 km al S de Antofagasta,f
2026-06-09T19:18:48Z,-22.34, -67.91, 187.7, 3.1,MLv,71.21 km al NE de San Pedro de Atacama,f
2026-06-09T19:28:51Z,-32.87, -71.38,  67.0, 2.5,MLv,12.83 km al O de Quillota,f
2026-06-09T20:13:25Z,-23.00, -66.96, 248.9, 3.1,MLv,115.55 km al NE de Socaire,f
2026-06-09T21:09:32Z,-21.38, -71.64,  37.4, 3.4,MLv,161.92 km al O de Patache,f
2026-06-09T21:20:12Z,-30.73, -71.37,  46.7, 4.2,Mw,14.88 km al NO de Punitaqui,t
2026-06-09T22:05:04Z,-32.80, -71.79,  29.0, 2.6,MLv,24.75 km al O de Quintero,f
2026-06-09T22:42:41Z,-29.27, -68.93, 102.6, 3.1,MLv,161.62 km al E de Alto del Carmen,f
2026-06-09T22:40:14Z,-27.17, -71.00,  28.6, 2.9,MLv,21.43 km al SO de Caldera,f
2026-06-10T00:54:12Z,-22.31, -67.75, 211.6, 3.0,MLv,81.91 km al NE de San Pedro de Atacama,f
2026-06-10T04:01:14Z,-22.14, -68.77, 115.0, 2.8,MLv,40.33 km al NE de Calama,f
2026-06-10T05:20:51Z,-32.77, -71.81,  28.9, 3.4,MLv,26.84 km al O de Quintero,f
2026-06-10T06:13:28Z,-21.48, -68.53, 125.0, 2.9,MLv,39.91 km al SO de Ollagüe,f
2026-06-10T06:28:37Z,-32.76, -71.85,  25.3, 3.5,MLv,30.23 km al O de Quintero,f
2026-06-10T07:10:15Z,-22.70, -67.49, 230.1, 3.5,MLv,77.08 km al E de San Pedro de Atacama,f
2026-06-10T09:51:43Z,-20.87, -69.24,  98.9, 2.6,MLv,42.67 km al S de Pica,f
2026-06-10T10:58:11Z,-36.70, -73.34,  52.8, 2.9,MLv,29.82 km al NO de Concepción,f
2026-06-10T12:30:35Z,-23.21, -68.90, 109.8, 3.6,MLv,55.35 km al SE de Sierra Gorda,f
2026-06-10T12:33:44Z,-33.53, -70.40, 102.6, 2.5,MLv,13.41 km al N de San José de Maipo,f
2026-06-10T16:31:19Z,-37.44, -72.43,  75.8, 3.4,MLv,8.28 km al NO de Los Ángeles,f
2026-06-10T18:50:04Z,-22.36, -68.65,  95.5, 2.6,MLv,31.72 km al E de Calama,f
2026-06-10T19:08:29Z,-19.32, -70.26,  42.2, 3.6,MLv,19.34 km al SO de Cuya,f
2026-06-10T19:40:45Z,-23.48, -67.26, 231.6, 3.2,MLv,65.55 km al E de Socaire,f
2026-06-10T21:08:18Z,-23.73, -67.25, 238.4, 4.5,Mw,66.99 km al E de Socaire,f
2026-06-10T22:56:03Z,-20.49, -69.92,  18.5, 2.7,MLv,29.57 km al SO de Pozo Almonte,f
2026-06-10T23:14:45Z,-21.29, -67.54, 221.1, 2.6,MLv,74.67 km al E de Ollagüe,f
2026-06-10T23:58:18Z,-35.51, -71.36,  88.8, 2.5,MLv,29.36 km al E de Talca,f
2026-06-01T00:02:59Z,-22.28, -68.61,  96.9, 2.6,MLv,38.69 km al NE de Calama,f
2026-06-01T00:15:08Z,-32.76, -71.70,  27.5, 3.0,MLv,16.49 km al O de Quintero,f
2026-06-01T00:47:38Z,-32.82, -71.77,  28.8, 2.8,MLv,23.4 km al O de Quintero,f
2026-06-01T01:28:51Z,-23.93, -66.90, 200.5, 3.0,MLv,67.7 km al NO de San Antonio de los Cobres,f
2026-06-01T01:43:44Z,-32.80, -71.79,  26.8, 3.2,MLv,24.92 km al O de Quintero,f
2026-06-01T01:44:29Z,-32.81, -71.79,  26.6, 3.1,MLv,25.39 km al O de Quintero,f
2026-06-01T02:27:51Z,-27.30, -71.17,  20.8, 2.5,MLv,43.19 km al SO de Caldera,f
2026-06-01T02:59:31Z,-31.62, -71.98,  21.3, 2.9,MLv,54.43 km al NO de Los Vilos,f
2026-06-01T03:50:23Z,-21.29, -68.03, 195.1, 2.9,MLv,24.8 km al E de Ollagüe,f
2026-06-01T05:43:31Z,-32.76, -71.80,  24.9, 2.5,MLv,25.65 km al O de Quintero,f
2026-06-01T05:53:18Z,-32.06, -70.15, 124.9, 2.8,MLv,48.99 km al SE de Mina Los Pelambres,f
2026-06-01T09:02:50Z,-18.58, -71.11,  20.0, 2.7,MLv,83.57 km al O de Arica,f
2026-06-01T10:03:46Z,-21.45, -68.49, 126.0, 2.5,MLv,35.13 km al SO de Ollagüe,f
2026-06-01T10:57:34Z,-21.75, -68.61, 102.9, 2.9,MLv,69.42 km al SO de Ollagüe,f
2026-06-01T10:58:20Z,-19.93, -69.22,  69.5, 2.8,MLv,63.73 km al N de Pica,f
2026-06-01T12:47:54Z,-21.92, -67.79, 206.4, 2.9,MLv,90.63 km al SE de Ollagüe,f
2026-06-01T14:05:30Z,-24.01, -67.44, 222.6, 3.2,MLv,65.66 km al SE de Socaire,f
2026-06-01T16:03:39Z,-30.01, -71.57,  31.8, 2.7,MLv,28.12 km al N de Tongoy,f
2026-06-01T16:25:34Z,-22.61, -68.60, 120.0, 2.6,MLv,37.41 km al SE de Calama,f
2026-06-01T19:51:13Z,-18.90, -69.62,  88.6, 3.2,MLv,50.72 km al NO de Camiña,f
2026-06-02T09:23:35Z,-21.86, -68.65, 127.9, 2.8,MLv,73.35 km al NE de Calama,f
2026-06-02T10:12:24Z,-29.80, -71.59,  31.8, 2.5,MLv,34.92 km al O de La Serena,f
2026-06-02T10:37:53Z,-30.90, -71.65,   7.6, 2.5,MLv,26.55 km al S de Parque Fray Jorge,f
2026-06-02T17:32:35Z,-22.40, -68.86, 118.3, 2.6,MLv,10.5 km al NE de Calama,f
2026-06-02T19:46:11Z,-37.77, -74.84,  10.0, 3.0,ML,105.9 km al O de Lebu,f
2026-06-02T20:24:13Z,-20.03, -70.33,  44.6, 3.4,MLv,27.37 km al NO de Iquique,f
2026-06-03T01:43:16Z,-20.70, -69.34, 103.9, 3.0,MLv,22.99 km al S de Pica,f
2026-06-03T02:38:53Z,-21.76, -68.57, 129.6, 2.6,MLv,68.28 km al SO de Ollagüe,f
2026-06-03T06:06:11Z,-24.00, -67.09, 198.0, 3.8,MLv,81.76 km al O de San Antonio de los Cobres,f
2026-06-03T07:31:38Z,-20.73, -69.17, 105.7, 3.1,MLv,31.43 km al SE de Pica,f
2026-06-03T07:50:32Z,-20.93, -68.96, 101.0, 3.1,MLv,33.3 km al O de Mina Collahuasi,f
